sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,priority,urgent,action_needed,potential_impact
24-07-2025 - DE - Gillette - Man - Creative 4,Adset #2,120228794634080368,120228794801360368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753599092000,0.8925,0.0,-0.89,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9971977622434037,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,89.25
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #1,120231939970540400,120231939971840400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,1753574921000,0.89,0.0,-0.89,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999988764057568,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,89.0
25-07-2025 - DE - Gillette - Creative 3,MV25-64 - Adset 2,120228987231040368,120228987232200368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753600247000,0.888,0.0,-0.89,1,1,0,-100.0,1,0,100,0.0,0.0,-1.002251123591077,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,88.8
26-07-2025 - DE - Lenor - Reviews 2 - Creative 5,Adset #2,120231900456710596,120231900467260596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753597075000,0.88,0.0,-0.88,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999988636376549,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,88.0
24-07-2025 - DE - Gillette - Man - Creative 2,Adset #4,120228794210580368,120228794356740368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753581543000,0.8771,0.0,-0.88,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0033052065839623,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,87.71
26-07-2025 - DE - Lenor - Reviews 2 - Creative 3,Adset #5,120231899898560596,120231900281910596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753623213000,0.875,0.0,-0.88,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0057131363278442,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,87.5
25-07-2025 - DE - Xiaomi - Man - Creative 1,MV25-64 - Adset 4,120232529859980679,120232530632620679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753623399000,0.87,0.0,-0.87,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999988505760338,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,87.0
25-07-2025 - DE - Xiaomi - Man - Creative 4,MV25-64 - Adset 4,120232532219850679,120232532220500679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753552524000,0.8617,0.0,-0.86,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9980259974167373,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,86.17
25-07-2025 - DE - Rituals - Creative 4,25-64 - Adset 1,120230831546100045,120230831546230045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753613397000,0.8258,0.0,-0.83,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0050847601298618,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,82.58
26-07-2025 - DE - Xiaomi - Reviews - Creative 2,Adset #2,120232806207870679,120232806269720679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753608927000,0.805,0.0,-0.81,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0062099301739997,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,80.5
25-07-2025 - DE - Xiaomi - Man - Creative 5,MV25-64 - Adset 4,120232532810460679,120232532810630679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753616964000,0.8,0.0,-0.8,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999987500015625,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,80.0
25-07-2025 - DE - Rituals - Creative 4,25-64 - Adset 2,120230831546100045,120230831547000045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753608110000,0.7833,0.0,-0.78,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9957857834982976,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,78.33
23-07-2025 - DE - Makita - Photo - Creative 4,Adset #4,120227446635140519,120227446666270519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,1753583574000,0.75,0.0,-0.75,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999986666684444,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,75.0
25-07-2025 - DE - Xiaomi - Man - Creative 2,MV25-64 - Adset 1,120232531200490679,120232531200540679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753554591000,0.745,0.0,-0.75,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0067100581073045,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,74.5
